round,candidate_op,pipeline,mean_macro_f1,std_macro_f1,scores,selected
0,baseline,,0.1058504328259769,0.012266654884903212,0.1061|0.0935|0.1180,True
1,dilation,dilation,0.11780857049819553,0.042995705318590795,0.1675|0.0929|0.0931,False
1,erosion,erosion,0.1375595978500204,0.03193040175900472,0.1233|0.1741|0.1153,True
1,sharpen,sharpen,0.10581351331645694,0.015117710793538845,0.1009|0.0937|0.1228,False
1,noise,noise,0.11158298762054393,0.016504055945435678,0.1053|0.1303|0.0991,False
1,erase,erase,0.11042719598540683,0.0024087516313845273,0.1077|0.1113|0.1123,False
2,dilation,erosion|dilation,0.11795547452359606,0.02859156542387119,0.1039|0.1509|0.0991,False
2,sharpen,erosion|sharpen,0.10956074349206524,0.020695369243901113,0.1334|0.0962|0.0991,False
2,noise,erosion|noise,0.07551032825130786,0.017355190778959487,0.0955|0.0671|0.0640,False
2,erase,erosion|erase,0.09166591652471988,0.02783154110664032,0.1078|0.0595|0.1077,False
