round,rank,candidate,candidate_op,pipeline,n_augmentations,mean_macro_f1,std_macro_f1,scores,acc_mean,acc_std,loss_mean,loss_std,gain,selected,decision,elapsed_sec
0,,(baseline),(baseline),,0,0.7419738628796011,0.06406948559944631,,0.7937165775401069,0.058771473685233465,0.43120627913245546,0.03824680142117868,0.0,0,baseline,194.48814988136292
1,1,affine,affine,affine,1,0.7735899298205525,0.031598556912500055,,0.8239304812834224,0.030389085631094753,0.41580608034516403,0.045934776575373516,0.031616066940951426,1,selected_top1,210.05881428718567
1,2,noise,noise,noise,1,0.7710717409714035,0.05777665712993207,,0.818850267379679,0.057875889546095176,0.4154242054345135,0.05175506276687415,0.02909787809180242,0,ranked_candidate,224.67606806755066
1,3,erase,erase,erase,1,0.769659522922004,0.05383304591470927,,0.820187165775401,0.046755620358592404,0.43357873820366066,0.07769999845146995,0.027685660042402915,0,ranked_candidate,207.02539706230164
1,4,dilation,dilation,dilation,1,0.7652273963441097,0.03632713233794882,,0.8248663101604278,0.034166190341345035,0.42387885091139027,0.06454791291913427,0.023253533464508647,0,ranked_candidate,207.84430384635925
1,5,sharpen,sharpen,sharpen,1,0.7300773580221418,0.0980018767017403,,0.7786096256684492,0.10502355904225502,0.43178983332320325,0.08604523405050268,-0.0118965048574593,0,ranked_candidate,213.19749236106873
2,2,noise,noise,affine|noise,2,0.7451471140119914,0.05671490244488301,,0.8121657754010695,0.04413030526556802,0.43674857573394466,0.06436725503102968,-0.028442815808561117,0,stop_not_improved,226.10236263275146
final,,(final),(final),affine,1,0.7551703528946502,0.026159945502179913,,0.8104723707664884,0.023465010715184576,0.45194305044710104,0.03287864884782056,,1,final,583.1170077323914
