,None,Center,Donut,Edge-loc,Edge-ring,Loc,Random,Scratch,Near-Full
None,0,0,0,0,0,0,0,0,0
Center,0,594,2,2,0,15,1,4,2
Donut,0,1,76,2,0,2,2,0,0
Edge-loc,0,3,0,685,9,32,1,7,2
Edge-ring,0,1,1,29,1414,1,1,1,0
Loc,0,8,13,30,0,421,3,20,0
Random,0,1,1,2,2,0,124,0,0
Scratch,0,0,0,1,0,7,0,133,0
Near-Full,0,0,0,0,0,0,0,0,22
