,None,Center,Donut,Edge-loc,Edge-ring,Loc,Random,Scratch,Near-Full
None,0,0,0,0,0,0,0,0,0
Center,0,601,2,0,0,9,8,0,0
Donut,0,1,77,0,0,4,1,0,0
Edge-loc,0,4,1,649,39,34,4,8,0
Edge-ring,0,4,0,15,1429,0,0,0,0
Loc,0,13,8,51,0,376,3,44,0
Random,0,1,2,3,1,1,122,0,0
Scratch,0,1,0,11,0,6,1,122,0
Near-Full,0,0,0,1,0,0,0,0,21
