round,candidate,pipeline,acc_mean,acc_std,loss_mean,loss_std,gain,selected,elapsed_sec
0,(baseline),,0.65875,0.25407768251068413,0.8324193030446768,0.3149445053242815,0.0,0,69.63863587379456
1,dilation,dilation,0.7715,0.03270846602945485,0.7196520616486668,0.10978368894721037,0.11275000000000002,0,72.3258626461029
1,affine,affine,0.7085,0.0772293661763451,0.9501188133358955,0.16215473574164688,0.04975000000000007,0,71.14009261131287
1,noise,noise,0.69975,0.28888579058167607,0.7310847731083632,0.30974014893702334,0.041000000000000036,0,76.14922428131104
1,erase,erase,0.69825,0.10862636650463826,0.9407072712182998,0.33315114013625735,0.03950000000000009,0,71.98905944824219
1,sharpen,sharpen,0.7715,0.07034735247328078,0.7013526627756655,0.2142483500402368,0.11275000000000002,1,72.19197511672974
2,dilation,sharpen|dilation,0.79325,0.02230120512438732,0.6980547879934311,0.10909138538560494,0.021750000000000047,1,63.84713292121887
2,affine,sharpen|affine,0.72175,0.07291154743934598,0.9361577049493789,0.17702358295453496,-0.04974999999999996,0,62.741620779037476
2,noise,sharpen|noise,0.77525,0.06666966139107054,0.7244813440553843,0.24371724973758402,0.003750000000000031,0,67.31372809410095
2,erase,sharpen|erase,0.72425,0.07374788132549978,0.8989745609164238,0.22450170445451179,-0.047250000000000014,0,63.49789047241211
3,affine,sharpen|dilation|affine,0.63875,0.1394408476738434,1.0143824343085288,0.22815893102525708,-0.15449999999999997,0,64.07150316238403
3,noise,sharpen|dilation|noise,0.7799999999999999,0.05319480707738303,0.74731479986012,0.15933705023059064,-0.013250000000000095,0,69.40198516845703
3,erase,sharpen|dilation|erase,0.72325,0.09138089926237321,0.8192185975015164,0.20978516667065591,-0.07000000000000006,0,65.27468252182007
final,(final),sharpen|dilation,0.7026666666666667,0.13251589078115805,0.8981850883712371,0.273375319752274,,1,191.03696990013123
