stage,elapsed_sec,num_samples,batch_size,samples_per_sec,ms_per_sample,total_params,trainable_params,note
Build sample lists,9.32,172950.0,,18565.96,0.05,,,Read file paths and class labels
Stage1 train/load total,1.31,147007.0,16.0,111941.86,0.01,22137345.0,22137345.0,Includes loading existing weights or training from scratch
Compute Stage2 class weights,0.01,121064.0,,15329019.71,0.0,,,Compute defect-only class weights
Greedy augmentation search total,1188.62,,,,,,,"Selected pipeline=['sharpen', 'dilation']"
Stage2 train/load total,1.42,147007.0,16.0,103391.22,0.01,22138248.0,22138248.0,Includes loading existing weights or training from scratch
Stage1 test inference,48.12,25943.0,16.0,539.13,1.85,,,None vs Defect probability prediction
Stage2 test inference,46.99,25943.0,16.0,552.09,1.81,,,8-class defect softmax prediction for all test samples
Total two-stage test inference,95.11,25943.0,16.0,272.77,3.67,,,Stage1 inference + Stage2 inference
Test inference + evaluation total,98.57,25943.0,16.0,263.19,3.8,,,"Includes prediction, metrics, confusion matrices, and CSV output"
Full program total,1301.2,172950.0,16.0,132.92,7.52,,,End-to-end wall-clock time
