round,candidate,candidate_op,pipeline,n_augmentations,mean_macro_f1,std_macro_f1,scores,acc_mean,acc_std,loss_mean,loss_std,gain,selected,decision,elapsed_sec
0,(baseline),(baseline),,0,0.47170479318017033,0.0319156978616941,,0.8116875,0.04847710074741475,0.47313240692368713,0.0760986405325236,0.0,0,baseline,247.25049209594727
1,dilation,dilation,dilation,1,0.4748575739194676,0.03561248136537265,,0.8151249999999999,0.04245263905224265,0.48687562845612414,0.06862685900785014,0.0031527807392972562,0,candidate,266.76639890670776
1,affine,affine,affine,1,0.44273463964637133,0.04154197973892226,,0.7691874999999999,0.07416218239018454,0.5093030738640809,0.055438606378244285,-0.028970153533799003,0,candidate,268.0256235599518
1,noise,noise,noise,1,0.47685662900048315,0.025793329822230742,,0.8165625000000001,0.02795696329852369,0.4915128463767469,0.06980692641764931,0.005151835820312811,0,candidate,279.6654155254364
1,erase,erase,erase,1,0.4846974030522574,0.03480471088729276,,0.8133125,0.04577277011908938,0.46506663248354024,0.08210510902388142,0.012992609872087058,0,candidate,262.4209291934967
1,sharpen,sharpen,sharpen,1,0.5011613175460718,0.05372459276823169,,0.8195,0.04312533967257534,0.4450628679221845,0.07310599192403251,0.029456524365901515,1,selected,266.58959317207336
2,dilation,dilation,sharpen|dilation,2,0.47501058334031443,0.013615445863636125,,0.8070625,0.030059836160564835,0.5144353730122093,0.070591138056925,-0.02615073420575742,0,candidate,272.9826588630676
2,affine,affine,sharpen|affine,2,0.4580655002234265,0.025740999612104187,,0.79875,0.04522135229208653,0.48479146765940817,0.03616181325954604,-0.043095817322645336,0,candidate,267.7966616153717
2,noise,noise,sharpen|noise,2,0.4768232573370309,0.02091042461048655,,0.8163750000000001,0.0295792434085965,0.49088655730060415,0.05752740779208811,-0.024338060209040946,0,stop_not_enough_gain,289.29896545410156
2,erase,erase,sharpen|erase,2,0.4619390992535203,0.024106589140545722,,0.8,0.06466409600775384,0.5057852303993423,0.11296778634853517,-0.03922221829255157,0,candidate,279.94214701652527
final,(final),(final),sharpen,1,0.4871844011020604,0.02130694851745868,,0.8265208333333333,0.03675750550988905,0.4522989030560518,0.07298056374488537,,1,final,827.1814439296722
