round,rank,candidate,candidate_op,pipeline,n_augmentations,mean_macro_f1,std_macro_f1,scores,acc_mean,acc_std,loss_mean,loss_std,gain,selected,decision,elapsed_sec
0,,(baseline),(baseline),,0,0.47805041079894356,0.025436677447352618,,0.818875,0.02691457841486655,0.47741943686211014,0.07298063314929372,0.0,0,baseline,254.0186939239502
1,1,sharpen,sharpen,sharpen,1,0.4778159026145855,0.03635307192089903,,0.8168124999999999,0.04526042266014539,0.4551754245245247,0.06954314029559822,-0.00023450818435805099,1,selected_top1,261.0847110748291
1,2,noise,noise,noise,1,0.47584990808527455,0.0283873094148164,,0.8083125000000001,0.051259812322861656,0.5021419943376532,0.09204759088870337,-0.002200502713669006,0,ranked_candidate,273.16682600975037
1,3,dilation,dilation,dilation,1,0.47400247715932065,0.027478028908208812,,0.8029375,0.0364960667829425,0.5028032702966593,0.050449132895511416,-0.004047933639622914,0,ranked_candidate,260.57547974586487
1,4,erase,erase,erase,1,0.4732993230156861,0.027473549394695894,,0.8231875000000001,0.035253961435206115,0.4668079430901807,0.05821830563733991,-0.004751087783257446,0,ranked_candidate,255.78770279884338
1,5,affine,affine,affine,1,0.4478631993608186,0.03387563430863379,,0.7846875000000001,0.05397301119541135,0.5250679652616381,0.053050580053219505,-0.030187211438124972,0,ranked_candidate,254.89858770370483
2,2,noise,noise,sharpen|noise,2,0.4796472966352995,0.027800590041088643,,0.8131250000000001,0.043616985295295216,0.4685070807134034,0.05120654654719728,0.0018313940207139723,1,selected_add,281.11397337913513
3,3,dilation,dilation,sharpen|noise|dilation,3,0.4691685566442999,0.031839361882826885,,0.7676875000000001,0.08532354553038103,0.5187037407728786,0.07478383322230538,-0.010478739990999575,0,stop_not_improved,285.6980605125427
final,,(final),(final),sharpen|noise,2,0.48067240831183633,0.0353600696370096,,0.80575,0.048293536058151725,0.4730789079487148,0.07398150870591416,,1,final,840.3758463859558
